// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
get_npc_name,277
get_npc_vislevel,1184
get_entity_screen_position,917
if_get_gamescreen,731
if_set_gamescreen_enabled,33
get_entity_overlay_height,414
get_npc_stat,1151
is_npc_active,701
is_npc_visible,73
is_targeted_entity,306
npc_type,895
get_loc_screen_position,519
get_obj_screen_position,637
get_loc_overlay_height,342
get_obj_overlay_height,777
get_loc_bounding_box,11
get_obj_bounding_box,677
get_entity_bounding_box,24
quest_getname,1153
quest_getsortname,1013
quest_type,476
quest_getdifficulty,1124
quest_getmembers,312
quest_points,888
quest_questreq_count,1142
quest_questreq,194
quest_questreq_met,1010
quest_pointsreq,1033
quest_pointsreq_met,592
quest_statreq_count,396
quest_statreq_stat,111
quest_statreq_level,275
quest_statreq_met,1043
quest_varpreq_count,623
quest_varpreq_desc,1017
quest_varpreq_met,817
quest_varbitreq_count,1057
quest_varbitreq_desc,374
quest_varbitreq_met,744
quest_allreqmet,443
quest_started,909
quest_finished,980
quest_param,415
map_build_complete,1110
sound_song_stop,809
sound_group_start,82
sound_group_stop,8
sound_vorbis_volume_rate_group,540
sound_mixbuss_add,172
sound_mixbuss_setlevel,121
sound_distancefocusfilter_setparams,174
preload_percent,1137
shader_preload_allow,361
shader_preload_percent,354
shader_preload_throttle,0
can_run_java_client,363
fps_stats,618
runjavascript,635
worldmap_jumptosourcecoord_instant,1105
worldmap_jumptodisplaycoord_instant,572
worldmap_setflashloops,799
worldmap_setflashloops_default,828
worldmap_setflashtics,30
worldmap_setflashtics_default,311
worldmap_perpetualflash,1066
worldmap_stopcurrentflashes,496
player_group_find,730
player_group_member_count,1172
player_group_member_get_same_world_var,34
player_group_member_get_rank,1094
player_group_member_get_team,716
player_group_member_get_last_seen_node_id,1029
player_group_member_get_status,944
player_group_member_is_online,832
player_group_member_is_member,286
player_group_member_get_displayname,782
player_group_member_get_join_xp,578
player_group_member_is_owner,763
player_group_banned_count,1147
player_group_banned_get_displayname,1098
player_group_get_displayname,112
player_group_get_max_size,824
player_group_get_create_mins_since_epoch,734
