// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not on the mirror (85 of ~100 archived), so this holds only what scripts show.
cam2_getpositionentity_angleoffsets,337
cam2_addeffect_shake,254
cam2_addeffect_ztilt,444
cam2_isenabled,628
login_hoptime,173
login_ban_duration,325
create_reply,1053
create_email_validate_reply,12
create_name_validate_reply,674
create_suggest_name_reply,1122
create_connect_reply,588
login_disallowresult,608
lobby_entergamereply,605
lobby_enterlobbyreply,158
has_signonkey,315
userflowflags,828
create_under13,135
login_last_transfer_reply,1135
login_inprogress,1050
login_queue_position,999
login_disallowtrigger,971
login_accountappeal,724
detailget_brightness,324
detailget_removeroofs_option,881
detailget_grounddecor_on,549
detailget_flickering_on,866
detailget_spotshadows_on,329
detailget_hardshadows,699
detailget_lightdetail_high,6
detailget_waterdetail_high,1033
detailget_fog_on,333
detailget_antialiasing,113
detailget_antialiasing_quality,96
detailget_stereo,107
detailget_soundvol,487
detailget_musicvol,642
detailget_bgsoundvol,28
detailget_particles,912
detailget_antialiasing_default,474
detailget_bloom,299
detailget_idleanims,260
detailget_groundblending,572
detailget_toolkit,371
detailget_toolkit_default,30
detailget_cpuusage,403
detailget_texturing,974
detailget_maxscreensize,1096
detailget_speechvol,630
detailget_loginvol,418
detailget_safemode,271
detailget_canchoosesafemode,1048
detailget_chosesafemode,1027
detailget_skydetail,114
detailget_drawdistance,1101
viewport_geteffectivesize,560
viewport_getzoom,1030
date_minutes,354
date_runeday,355
date_runeday_fromdate,899
date_runeday_todate,296
date_minutes_fromruneday,618
worldlist_fetch,580
worldlist_start,455
worldlist_next,387
worldlist_switch,935
worldlist_specific,1146
worldlist_specific_thisworld,1110
mec_text,787
mec_sprite,495
mec_category,132
mec_param,267
userdetail_quickchat,430
userdetail_lobby_membership,773
userdetail_lobby_recoveryday,167
userdetail_lobby_unreadmessages,231
userdetail_lobby_lastloginday,1109
userdetail_lobby_emailstatus,244
userdetail_lobby_ccexpiry,823
userdetail_lobby_graceexpiry,494
userdetail_dob,242
userdetail_lobby_playage,24
autosetup_dosetup,1002
autosetup_getlevel,165
video_advert_play,463
video_advert_has_finished,799
boost_advert_exists,161
boost_advert_available,664
detailcanmod_grounddecor,1003
detailcanmod_spotshadows,824
detailcanmod_hardshadows,1010
detailcanmod_antialiasing,707
detailcanmod_antialiasing_quality,37
detailcanmod_particles,274
detailcanmod_buildarea,942
detailcanmod_bloom,996
detailcanmod_groundblending,637
detailcanmod_texturing,307
detailcanmod_maxscreensize,833
detailcanmod_toolkit_default,121
detailcanmod_skydetail,815
detailcanset_antialiasing_quality,390
detailcanset_particles,666
detailcanset_buildarea,652
detailcanset_maxscreensize,353
detailcanset_toolkit_default,182
detailcanset_skydetail,848
get_npc_vislevel,484
get_entity_screen_position,1129
if_get_gamescreen,859
if_set_gamescreen_enabled,225
get_entity_overlay_height,330
get_npc_stat,744
is_targeted_entity,583
npc_type,392
get_loc_screen_position,480
get_obj_screen_position,88
get_loc_overlay_height,170
get_obj_overlay_height,451
get_loc_bounding_box,1022
get_obj_bounding_box,635
get_entity_bounding_box,902
quest_finished,885
sound_group_start,35
sound_group_stop,701
sound_vorbis_volume_rate_group,747
preload_percent,1025
shader_preload_throttle,826
fps_stats,1111
runjavascript,1105
