// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
fullscreen_lastmode,60
getwindowmode,676
getdefaultwindowmode,1018
spline_length,225
lastlogin,79
minimenuopen,696
getclipboard,356
has_html5,780
has_nxt,474
clienttype,1093
is_gamescreen_state,100
cam_getangle_xa,730
cam_getangle_ya,62
cam_getfollowheight,212
cam2_getcontrolmode,911
cam2_getlookatmode,476
cam2_getpositionmode,1149
cam2_getpositionentity_angleoffsets,278
cam2_addeffect_shake,1200
cam2_getpositionentity_lookatangleoffsets,494
cam2_getpositionentity_lookatangle,419
cam2_getpositionentity_lookatdistance,61
cam2_addeffect_ztilt,1146
cam2_isenabled,1153
cam2_legacycam_ready,674
cam_modeisfollowplayer,1174
login_reply,767
login_hoptime,1120
login_ban_duration,85
create_reply,329
create_email_validate_reply,742
create_name_validate_reply,890
create_suggest_name_reply,196
create_connect_reply,1019
login_disallowresult,776
lobby_entergamereply,990
lobby_enterlobbyreply,347
has_signonkey,595
userflowflags,421
create_under13,652
login_last_transfer_reply,839
login_inprogress,787
login_queue_position,457
login_disallowtrigger,230
create_get_email,1052
login_accountappeal,259
detailget_brightness,410
detailget_removeroofs_option,45
detailget_grounddecor_on,833
detailget_idleanims_many,646
detailget_flickering_on,1127
detailget_spotshadows_on,316
detailget_hardshadows,608
detailget_shadowquality,120
detailget_lightdetail_high,275
detailget_waterdetail_high,77
detailget_fog_on,579
detailget_antialiasing,1100
detailget_antialiasing_quality,469
detailget_stereo,1194
detailget_soundvol,867
detailget_musicvol,1023
detailget_bgsoundvol,395
detailget_particles,487
detailget_antialiasing_default,747
detailget_buildarea,133
detailget_bloom,1102
detailget_customcursors,1192
detailget_idleanims,53
detailget_groundblending,1126
detailget_toolkit,1142
detailget_toolkit_default,1157
detailget_cpuusage,301
detailget_texturing,314
detailget_performance_metric,470
detailget_maxscreensize,905
detailget_speechvol,786
detailget_loginvol,227
detailget_safemode,362
detailget_loadingscreentype,293
detailget_orthographic,963
detailget_canchoosesafemode,973
detailget_chosesafemode,233
detailget_skydetail,882
detailget_drawdistance,1147
detailget_maxdiskcachesize,432
detailget_mindiskcachesize,601
detailget_recommendeddiskcachesize,355
detailget_diskcachesize,571
detailget_animdetail,467
viewport_geteffectivesize,136
viewport_getzoom,1034
viewport_getfov,443
date_minutes,473
date_runeday,1080
date_runeday_fromdate,1101
date_year,953
date_isleapyear,879
date_runeday_todate,1070
date_minutes_fromruneday,712
worldlist_fetch,1179
worldlist_start,701
worldlist_next,888
worldlist_switch,895
worldlist_specific,22
worldlist_specific_thisworld,945
if_gettop,846
if_debug_getopenifcount,1190
if_debug_getopenifid,392
if_debug_getname,115
if_debug_getcomcount,18
if_debug_getcomname,834
if_debug_getservertriggers,135
opcount,781
mec_text,954
mec_sprite,495
mec_textsize,891
mec_category,1189
mec_param,1087
userdetail_quickchat,806
userdetail_lobby_membership,814
userdetail_lobby_recoveryday,1092
userdetail_lobby_unreadmessages,844
userdetail_lobby_lastloginday,388
userdetail_lobby_lastloginaddress,589
userdetail_lobby_emailstatus,854
userdetail_lobby_ccexpiry,466
userdetail_lobby_graceexpiry,961
userdetail_lobby_dobrequested,280
userdetail_dob,647
userdetail_lobby_membersstats,348
userdetail_lobby_playage,99
userdetail_lobby_jcoins_balance,621
userdetail_lobby_loyalty_balance,306
autosetup_dosetup,344
autosetup_getlevel,1132
video_advert_play,564
video_advert_has_finished,815
detailcanmod_grounddecor,34
detailcanmod_spotshadows,826
detailcanmod_hardshadows,1159
detailcanmod_shadowquality,851
detailcanmod_waterdetail,112
detailcanmod_antialiasing,790
detailcanmod_antialiasing_quality,678
detailcanmod_particles,72
detailcanmod_buildarea,1098
detailcanmod_bloom,140
detailcanmod_groundblending,150
detailcanmod_texturing,320
detailcanmod_maxscreensize,1041
detailcanmod_fog,26
detailcanmod_orthographic,130
detailcanmod_toolkit_default,235
detailcanmod_skydetail,86
detailcanmod_animdetail,931
detailcanset_grounddecor,828
detailcanset_spotshadows,714
detailcanset_hardshadows,933
detailcanset_shadowquality,1198
detailcanset_waterdetail,853
detailcanset_antialiasing,1199
detailcanset_antialiasing_quality,941
detailcanset_particles,952
detailcanset_buildarea,716
detailcanset_bloom,1110
detailcanset_groundblending,824
detailcanset_texturing,822
detailcanset_maxscreensize,586
detailcanset_fog,167
detailcanset_orthographic,1082
detailcanset_toolkit_default,291
detailcanset_skydetail,193
detailcanset_animdetail,1161
get_entity_say,856
get_displayname_withextras,960
get_npc_name,129
get_npc_vislevel,650
get_entity_screen_position,710
if_get_gamescreen,1170
if_set_gamescreen_enabled,547
get_entity_overlay_height,623
get_npc_stat,427
is_npc_active,218
is_npc_visible,184
is_targeted_entity,795
npc_type,778
get_loc_screen_position,1184
get_obj_screen_position,874
get_loc_overlay_height,884
get_obj_overlay_height,247
get_loc_bounding_box,935
get_obj_bounding_box,563
get_entity_bounding_box,969
quest_getname,566
quest_getsortname,160
quest_type,536
quest_getdifficulty,665
quest_getmembers,1046
quest_points,593
quest_questreq_count,763
quest_questreq,74
quest_questreq_met,1045
quest_pointsreq,489
quest_pointsreq_met,176
quest_statreq_count,868
quest_statreq_stat,975
quest_statreq_level,405
quest_statreq_met,114
quest_varpreq_count,1134
quest_varpreq_desc,458
quest_varpreq_met,116
quest_varbitreq_count,171
quest_varbitreq_desc,1106
quest_varbitreq_met,498
quest_allreqmet,894
quest_started,486
quest_finished,1160
quest_param,1140
map_build_complete,687
sound_song_stop,219
sound_group_start,612
sound_group_stop,237
sound_vorbis_volume_rate_group,602
sound_mixbuss_add,711
sound_mixbuss_setlevel,1
sound_distancefocusfilter_setparams,132
preload_percent,1033
shader_preload_allow,9
shader_preload_percent,561
shader_preload_throttle,1177
can_run_java_client,358
fps_stats,1063
runjavascript,4
worldmap_jumptosourcecoord_instant,54
worldmap_jumptodisplaycoord_instant,346
worldmap_setflashloops,762
worldmap_setflashloops_default,68
worldmap_setflashtics,860
worldmap_setflashtics_default,721
worldmap_perpetualflash,304
worldmap_stopcurrentflashes,796
player_group_find,172
player_group_member_count,97
player_group_member_get_same_world_var,1156
player_group_member_get_rank,351
player_group_member_get_team,723
player_group_member_get_last_seen_node_id,1066
player_group_member_get_status,1109
player_group_member_is_online,594
player_group_member_is_member,350
player_group_member_get_displayname,372
player_group_member_get_join_xp,422
player_group_member_is_owner,628
